Country,Clicks,Impressions,CTR,Position
India,86,194,44.33%,7.31
United States,0,185,0%,46.22
United Kingdom,0,129,0%,25.43
Philippines,0,53,0%,17.92
Canada,0,32,0%,24.31
Australia,0,27,0%,20.59
Indonesia,0,25,0%,13.68
Germany,0,16,0%,12.25
Turkey,0,16,0%,27.81
Bangladesh,0,16,0%,28.38
Netherlands,0,15,0%,9.13
Vietnam,0,15,0%,21.4
Russia,0,15,0%,32.6
Thailand,0,15,0%,33.6
Egypt,0,13,0%,9.15
New Zealand,0,13,0%,31.77
Spain,0,12,0%,15.08
Pakistan,0,11,0%,19.27
Mexico,0,11,0%,30.82
Sweden,0,10,0%,8.1
Jordan,0,10,0%,41.1
Malaysia,0,9,0%,24.44
Kenya,0,8,0%,9
France,0,8,0%,28.38
Morocco,0,7,0%,28.14
Lithuania,0,6,0%,6.67
Brunei,0,6,0%,10.67
United Arab Emirates,0,6,0%,16.83
Algeria,0,6,0%,31.33
Saudi Arabia,0,6,0%,36.17
Belgium,0,5,0%,9
Romania,0,5,0%,9.2
Ukraine,0,5,0%,29.6
Serbia,0,4,0%,8.5
Lebanon,0,4,0%,9.75
Singapore,0,4,0%,11
Qatar,0,4,0%,19.5
Iraq,0,4,0%,34
Albania,0,3,0%,3.67
Ireland,0,3,0%,7
Ecuador,0,3,0%,7.33
Italy,0,3,0%,7.67
Bulgaria,0,3,0%,8
Malta,0,3,0%,9
Austria,0,3,0%,9.67
Portugal,0,3,0%,9.67
Norway,0,3,0%,10.33
Hong Kong,0,3,0%,10.67
Aruba,0,2,0%,6.5
Brazil,0,2,0%,7
Bermuda,0,2,0%,10
South Africa,0,2,0%,10
Latvia,0,2,0%,10.5
Cambodia,0,2,0%,11
Iceland,0,2,0%,18
Estonia,0,2,0%,29
Slovakia,0,2,0%,37
Nigeria,0,2,0%,37.5
Switzerland,0,2,0%,45.5
Bahrain,0,2,0%,49
Kazakhstan,0,1,0%,1
Myanmar (Burma),0,1,0%,2
Burkina Faso,0,1,0%,6
Congo - Kinshasa,0,1,0%,6
Kuwait,0,1,0%,7
Poland,0,1,0%,7
Yemen,0,1,0%,7
Denmark,0,1,0%,8
Croatia,0,1,0%,8
Finland,0,1,0%,9
Greece,0,1,0%,9
Hungary,0,1,0%,9
Japan,0,1,0%,9
Nepal,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Greenland,0,1,0%,10
St. Lucia,0,1,0%,10
Uganda,0,1,0%,10
Uzbekistan,0,1,0%,10
Barbados,0,1,0%,11
Ghana,0,1,0%,11
Iran,0,1,0%,11
Mongolia,0,1,0%,11
Palestine,0,1,0%,11
Swaziland,0,1,0%,11
Syria,0,1,0%,11
Azerbaijan,0,1,0%,91
