Top queries,Clicks,Impressions,CTR,Position
lost street,15,65,23.08%,10.51
hardest country to guess,1,134,0.75%,10.07
give any image,1,1,100%,2
top 10 hardest country to guess,0,51,0%,9.14
hard countries to guess,0,32,0%,8
hardest countries to guess,0,32,0%,12.06
what is the hardest country to guess,0,16,0%,10.75
history of brunei,0,16,0%,78.75
the hardest country to guess,0,8,0%,10.12
most hardest country to guess,0,7,0%,10.14
sultanate borneo,0,5,0%,63
history of bahrain,0,5,0%,92.4
hard country to guess,0,4,0%,8.25
countries hard to guess,0,4,0%,8.75
give me a hard country to guess,0,4,0%,9.75
identify flag,0,4,0%,33
brunei sultanate,0,4,0%,51.75
bruneian empire,0,4,0%,52.75
history of azerbaijan,0,4,0%,79
really hard countries to guess,0,3,0%,4
top 10 hardest countries to guess,0,3,0%,7.33
name a hard country to guess,0,3,0%,8
which country is hard to guess,0,3,0%,8
difficult countries to guess,0,3,0%,10
hardest country to find on a map,0,3,0%,10.33
empire of brunei,0,3,0%,11
brunei empire,0,3,0%,41.33
brunei independence,0,3,0%,60.33
sultanate of borneo,0,3,0%,62.33
hardest to guess country,0,2,0%,6.5
what country is hard to guess,0,2,0%,8.5
the most hardest country to guess,0,2,0%,10
hardest country to gues,0,2,0%,10.5
hardest country,0,2,0%,11
what country is the hardest to guess,0,2,0%,11
google street view guessing game,0,2,0%,27.5
hardest counties to guess,0,2,0%,31.5
hard countries,0,2,0%,42.5
country flag identifier,0,2,0%,52.5
background of nigeria,0,2,0%,58
blind street,0,2,0%,59
borneo sultanate,0,2,0%,59
germany background,0,2,0%,59.5
sultanate brunei,0,2,0%,59.5
ghana origin,0,2,0%,61
bahrain old name,0,2,0%,62
sultanate of brunei,0,2,0%,66.5
loser street,0,2,0%,67.5
oman country history,0,2,0%,76
bruneian sultanate,0,2,0%,76.5
panama continent,0,2,0%,79
oman independence,0,2,0%,80.5
albanian borders,0,2,0%,85
how did namibia get its shape,0,2,0%,90
albania borders,0,2,0%,91.5
when was afghanistan established,0,2,0%,91.5
history of cape verde,0,2,0%,93.5
history of namibia,0,2,0%,95
country hard to guess,0,1,0%,6
difficult country to guess,0,1,0%,7
hardest country ti guess,0,1,0%,8
hardest countrys to guess,0,1,0%,8
most difficult countries to guess,0,1,0%,8
which country is hardest to guess,0,1,0%,8
country that is hard to guess,0,1,0%,9
hard to guess countries,0,1,0%,9
brunei empire flag,0,1,0%,10
hardest countires to guess,0,1,0%,10
most difficult country to guess,0,1,0%,10
what is a hard country to guess,0,1,0%,10
which country is the hardest to guess,0,1,0%,10
a country that is hard to guess,0,1,0%,11
countries that are hard to guess,0,1,0%,11
give me a country that is hard to guess,0,1,0%,11
hardest contry to guess,0,1,0%,11
hardest countries for hangman,0,1,0%,11
hardest county to guess,0,1,0%,11
impossible countries to guess,0,1,0%,11
give me the hardest country to guess,0,1,0%,12
hard countrys to guess,0,1,0%,12
how to tell european countries apart geoguessr,0,1,0%,13
iraq background,0,1,0%,19
borneo empire,0,1,0%,20
street view guess,0,1,0%,20
formation of india,0,1,0%,22
identify country flag,0,1,0%,23
which is the hardest country to guess,0,1,0%,25
guess the country by google street view,0,1,0%,26
hardest country name,0,1,0%,26
flags of the world identifier,0,1,0%,29
pays street view geoguessr,0,1,0%,31
street view geoguessr,0,1,0%,31
geoguessr street view,0,1,0%,32
hardest country names,0,1,0%,32
street view guesser,0,1,0%,32
what are some hard countries to guess,0,1,0%,32
why is brunei independent,0,1,0%,33
country flag identification,0,1,0%,35
street to street,0,1,0%,36
plonk it estonia,0,1,0%,38
give me the hardest country name,0,1,0%,41
difficult countries name,0,1,0%,42
afghanistan map before 1893,0,1,0%,44
how to learn country flags,0,1,0%,44
albania 1913,0,1,0%,46
formation of south sudan,0,1,0%,46
geoguessr clues list,0,1,0%,46
how new zealand was formed,0,1,0%,46
hollstreet4 online,0,1,0%,48
identify the flag,0,1,0%,48
what was bahrain called before,0,1,0%,48
flag identifier,0,1,0%,50
geoguessr estonia,0,1,0%,50
brunei kingdom,0,1,0%,52
formation of new zealand,0,1,0%,52
online street,0,1,0%,53
how nigeria was formed,0,1,0%,54
liberia background,0,1,0%,55
background of india,0,1,0%,56
hard countries to spell,0,1,0%,56
history namibia,0,1,0%,61
background of italy,0,1,0%,62
find flags,0,1,0%,63
street online,0,1,0%,63
yemen country history,0,1,0%,63
albanian background,0,1,0%,65
ghana background,0,1,0%,65
brief history about ghana,0,1,0%,67
geoguessr websites,0,1,0%,68
flag searcher,0,1,0%,71
old name of bahrain,0,1,0%,72
panama origin,0,1,0%,74
brunei history timeline,0,1,0%,75
iraqi independence,0,1,0%,76
panama borders,0,1,0%,76
brunei country history,0,1,0%,77
when was yemen founded,0,1,0%,77
is st lucia independent,0,1,0%,78
