Date,Clicks,Impressions,CTR,Position
2026-07-01,0,0,,
2026-07-02,8,10,80%,1.5
2026-07-03,1,2,50%,1.5
2026-07-04,3,5,60%,1.6
2026-07-05,12,21,57.14%,1.9
2026-07-06,5,7,71.43%,1.3
2026-07-07,2,7,28.57%,2.9
2026-07-08,0,3,0%,5.3
2026-07-09,5,9,55.56%,6.6
2026-07-10,0,0,,
2026-07-11,8,11,72.73%,3.6
2026-07-12,3,15,20%,1.4
2026-07-13,1,5,20%,40.8
2026-07-14,4,11,36.36%,34.4
2026-07-15,1,3,33.33%,58.7
2026-07-16,1,7,14.29%,59.4
2026-07-17,4,20,20%,46.2
2026-07-18,1,15,6.67%,65
2026-07-19,3,10,30%,41.8
2026-07-20,2,16,12.5%,50.8
2026-07-21,3,15,20%,51.3
2026-07-22,1,4,25%,24.8
2026-07-23,0,8,0%,48.2
2026-07-24,1,8,12.5%,38.1
2026-07-25,1,6,16.67%,33.3
2026-07-26,2,24,8.33%,39.4
2026-07-27,3,39,7.69%,40.7
2026-07-28,0,30,0%,46.8
2026-07-29,0,23,0%,33.3
2026-07-30,4,38,10.53%,23
2026-07-31,0,117,0%,23.4
2026-08-01,1,198,0.51%,14.9
2026-08-02,2,196,1.02%,15.8
2026-08-03,3,95,3.16%,17.3
2026-08-04,1,33,3.03%,26.8
