Top queries,Clicks,Impressions,CTR,Position
lost street,15,32,46.88%,4.09
history of brunei,0,6,0%,86.83
history of azerbaijan,0,4,0%,79
bruneian empire,0,3,0%,63
brunei empire,0,2,0%,56
germany background,0,2,0%,59.5
panama continent,0,2,0%,79
how did namibia get its shape,0,2,0%,90
when was afghanistan established,0,2,0%,91.5
history of cape verde,0,2,0%,93.5
history of bahrain,0,2,0%,94.5
iraq background,0,1,0%,19
how new zealand was formed,0,1,0%,46
brunei kingdom,0,1,0%,52
formation of new zealand,0,1,0%,52
background of india,0,1,0%,56
ghana origin,0,1,0%,56
background of nigeria,0,1,0%,58
background of italy,0,1,0%,62
oman independence,0,1,0%,63
street online,0,1,0%,63
blind street,0,1,0%,64
albanian background,0,1,0%,65
ghana background,0,1,0%,65
geoguessr websites,0,1,0%,68
bahrain old name,0,1,0%,74
panama origin,0,1,0%,74
iraqi independence,0,1,0%,76
panama borders,0,1,0%,76
history of cabo verde,0,1,0%,82
panama name origin,0,1,0%,83
panama origins,0,1,0%,83
the history of panama,0,1,0%,84
brunei history,0,1,0%,85
cabo verde history,0,1,0%,85
st lucia history timeline,0,1,0%,85
oman origin,0,1,0%,86
afghanistan founded,0,1,0%,87
which countries border iraq,0,1,0%,87
history about oman,0,1,0%,88
albanian borders,0,1,0%,89
brunei sultanate history,0,1,0%,89
history cape verde,0,1,0%,90
azerbaijan history,0,1,0%,91
history of panama,0,1,0%,91
georgia history,0,1,0%,92
how long has nigeria been a country,0,1,0%,92
when was brazil discovered,0,1,0%,94
how was iraq created,0,1,0%,95
creation of iraq,0,1,0%,97
where was ghana located,0,1,0%,98
cape verde history,0,1,0%,99
